bnum	eg	name	description	0.11/0.11_rel_mrna	0.21/0.11_rel_mrna	0.31/0.11_rel_mrna	0.4/0.11_rel_mrna	0.48/0.11_rel_mrna	0.11/0.11_rel_prot	0.21/0.11_rel_prot	0.25/0.11_rel_prot	0.31/0.11_rel_prot	0.4/0.11_rel_prot	0.48/0.11_rel_prot	0.11_abs_mrna	0.21_abs_mrna	0.31_abs_mrna	0.4_abs_mrna	0.48_abs_mrna	0.11_abs_prot	0.21_abs_prot	0.31_abs_prot	0.4_abs_prot	0.48_abs_prot
b3170	eg11179	rimp	rimp factor required for maturation of 30s ribosomal subunits	1	0.972654947	1.356604327	1.515716567	2.203810232	1	1.421903817	1.461162824	1.631425517	1.789326496	1.980831179	1.28E+12	1.64E+12	3.30E+12	4.46E+12	8.30E+12	4.91E+15	7.67E+15	7.02E+15	3.64E+15	3.36E+15
b0596	eg10259	enta	enta 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1		0.835087919	0.806641759	0.763129604	1	1.142583106	0	1.27269794	1.493804343	1.301838899						6.50E+14	1.86E+15	5.07E+14	1.69E+15	1.70E+14
b0211	eg10246	mltd		1	0.550952558	0.795536484	0.712025098	0.52850902							6.18E+11	5.22E+11	9.81E+11	8.74E+11	1.08E+12					
b2561	eg12308	yfhh		1		1.109569472	1.035264924	0.801069878														7.33E+14	2.11E+15	
b1974	eg14050	yodb																						
b4227	eg12517	ytfq	ytfq putative abc transporter periplasmic binding protein	1	0.570381858	0.20877198	0.138696184	0.070805243	1	0.595210953	0.28702926	0.20426379	0.05152181	0.016540393	1.17E+12	9.27E+11				7.34E+15	9.08E+15	3.45E+15	4.25E+15	6.27E+15
b0221	eg13145	fade	fade medium-long-chain fatty acyl-coa dehydrogenase	1	1.292352831	0.607097442	0.41754396	0.20166044	1	1.081581891	0.981128789	0.825796556	0.535533034	0.230401243	1.07E+11	1.95E+11				2.07E+15	2.38E+15	2.16E+15	1.98E+15	1.52E+15
b1463	eg13780	nhoa		1	0.732042848	0.611320139	0.586417475	0.607097442																
b2321	eg10229	flk																		1.16E+15	1.65E+15	9.72E+14	1.15E+15	9.77E+14
b2276	eg12093	nuon		1	1.424050196	1.248330549	1.257013375	1.172834949							3.07E+11	6.14E+11	7.59E+11	9.48E+11	1.08E+12		3.71E+15			
b2319	eg11059	usg	usg gene in pdxb operon, function unknown	1	1.172834949	1.205807828	1.205807828	1.328685814	1	0.936936717	1.168776371	1.066774638	0.941164038	0.967604935	2.46E+11	3.84E+11		5.50E+11	7.88E+11	3.72E+15	2.40E+15	4.64E+15	5.74E+15	2.96E+15
b2155	eg10155	cira	cira colicin i receptor	1	1.205807828	1.283425898	1.337927555	1.197478705	1	2.349275878	3.843993194	5.416278192	6.082157483	4.704775833	1.22E+11	2.18E+11				1.70E+15	1.70E+15	1.46E+15	1.23E+15	7.31E+14
b1922	eg11355	flia	flia transcription factor sigma 28 for class iii flagellar operons	1	1.433955248	0.707106781	0.659753955	0.316439148							1.92E+12	3.38E+12	2.64E+12	2.91E+12	2.15E+12	1.06E+15	6.10E+14	7.82E+14	1.21E+15	4.65E+14
b2389	eg14156	yfeo		1		0.926588062	0.858565436																	
b4004	eg10482	zrar		1	1.035264924	0.91383145	0.926588062																	
b3900	eg11864	frva																						
b3866	eg11835	yihi	yihi function unknown	1	0.678302164	0.907519155	0.959264119	0.77916458	1	0.699040235	0.657436709	0.790457644	0.781918461	0.716623332	8.14E+11		1.34E+12	1.81E+12	1.85E+12	6.26E+15	1.55E+15	7.62E+15	5.94E+15	5.69E+15
b1754	eg14004	ynjb	ynjb predicted secreted protein, function unknown	1	0.664342907		0.895025071	0.773782497	1	1.025731188	0	1.16906759	0.692904794							5.36E+14	1.26E+15	4.62E+14	7.57E+14	3.55E+14
b0291	eg13563	yagx																						
b4428	eg11240	hokb																						
b0771	eg13666	ybhj																						
b1408	eg13748	ynba																						
b3297	eg10910	rpsk	rpsk 30s ribosomal subunit protein s11	1	0.920187651	1.283425898	1.356604327	1.918528239	1	1.003623845	0.958263809	1.229306127	1.535904899	1.653744217	7.41E+12	1.36E+13	1.58E+13	2.24E+13	3.18E+13	2.20E+16	2.55E+16	1.81E+16	1.61E+16	2.19E+16
b4257	eg12533	yjgn																						
b3726	eg10782	psta		1		0.939522749	0.926588062	1.035264924																
b2200	eg12058	ccmb		1	0.712025098	0.747424624	0.752623374																	
b0346	eg20276	mhpr	mhpr transcriptional activator, mhp operon	1	1.8276629	0.574349177	0.378929142	0.200267469	1	1.270997485	1.181177182	0.81466733	0.392894193	0.246248927	4.93E+11	1.41E+12	5.84E+11			1.47E+15	1.10E+15	1.45E+15	5.23E+14	6.86E+14
b4161	eg12479	rsga	rsga ribosome-stimulated gtpase, function unknown	1	0.817902059	0.907519155	0.939522749	0.986232704	1	0.939136099	0.886095575	0.852987235	0.75574091	0.791753907	4.22E+11	4.92E+11				2.17E+15	3.72E+15	1.44E+15	8.06E+14	1.35E+15
b1867	eg12378	yecd	yecd function unknown						1	0.966167632	0	0.745566148	0.638928104	0.598859134						4.64E+15	3.12E+15	4.16E+15	2.13E+15	4.90E+15
b1083	eg11545	flgl	flgl flagellar synthesis, hook-associated protein	1	1.945309895	1.292352831	1.189207115	0.678302164							8.38E+11	2.01E+12	2.07E+12	2.59E+12	1.84E+12	1.26E+15				
b2958	eg12705	yggn	yggn putative periplasmic protein, function unknown	1	0.91383145	0.907519155	0.946057647	1.079228237	1	0.734588113	0.658037108	0.68635537	0.737442231	0.721354384	3.86E+11	5.30E+11			1.10E+12	3.38E+15	3.18E+15	4.09E+14	1.92E+15	1.71E+15
b2210	eg12069	mqo	mqo malate oxidoreductase	1	1.292352831																4.35E+14	2.74E+14	3.59E+14	6.82E+14
b3417	eg10560	malp	malp maltodextrin phosphorylase						1	1.194179334	1.368137966	1.528168973	1.570958982	1.029990699						2.95E+15	2.83E+15	3.20E+15	3.00E+15	2.97E+15
b0641	eg10855	lpte	lpte lps assembly om complex lptde, lipopprotein component	1	1.205807828	1.028113827	1.140763716	1.094293701	1	0.832222974	0.76427724	0.782352252	0.711417227	0.422659036	7.78E+11	1.22E+12	1.83E+12	2.38E+12	2.28E+12	4.07E+15	6.18E+15	5.82E+15	6.35E+15	3.13E+15
b4325	eg12564	yjic																						
b1432	eg13756	ydcm		1	1.140763716	1.042465761	0.979420298	0.895025071																
b2676	eg12381	nrdf		1	1.815038311	1.505246747	1.424050196	1.248330549																
b1095	eg12606	fabf	fabf beta-ketoacyl-acp synthase ii	1	0.979420298	1.086734863	1.079228237	1.109569472	1	1.226257932	1.739960807	1.41959379	1.540668854	1.594937786	5.54E+11	9.09E+11	1.22E+12	1.37E+12	1.92E+12	3.09E+15	1.56E+15	3.15E+15	1.33E+15	2.22E+15
b4438	eg31153	cyar																						
b2730	eg10487	hype		1	0.840896415	0.650670928	0.611320139																	
b2268	eg14260	rbn		1	0.823591017	1.274560627	1.205807828	1.292352831													8.39E+14			6.09E+14
b1244	eg10675	oppb	oppb oligopeptide transport, permease	1	1.613283518	1.647182035	1.802500925		1	1.753612597	1.610885728	2.129205429	2.351540972	1.403513707	3.67E+11	7.22E+11	9.56E+11	1.41E+12		1.09E+15		3.11E+15	1.96E+15	8.34E+14
b0987	eg13732	gfca		1	0.901250463																			
b4216	eg12510	ytfj	ytfj expressed periplasmic protein, function unknown	1	1.705269784	0.582366793	0.408951029	0.307786103	1	1.100030139	0	0.964817063	0.588889875	0.24670839	7.89E+11	1.41E+12	1.02E+12			2.74E+15	1.62E+15	1.21E+15		
b1266	eg14257	yciv		1	0.952637998															5.00E+14				
b4392	eg10950	slt	slt soluble lytic murein transglycosylase slt70, major autolysin, periplasmic	1	1.035264924	0.768437591	0.768437591	0.737134609	1	0.779306288	0.576907313	0.574209576	0.510125625	0.528484817						1.88E+15	1.35E+15	1.98E+15	1.13E+15	1.81E+15
b1120	eg13443	cobb	cobb acetyl-coa synthase (acs) lysine deacetylase, nad-dependent	1	1.310393404	1.248330549	1.205807828	1.231144413	1	1.116431118	1.276121151	1.311829022	1.153889264	1.181793485	3.61E+11	6.29E+11		6.72E+11	8.43E+11	6.33E+15	5.20E+15	4.28E+15	6.79E+15	3.80E+15
b4576;b4564;b4563;b3445;b1893;b0988;b0274;b0264;b0021	eg40002	insb																						
b2180	eg12041	yejf	yejf abc transporter atp-binding protein for microcin c uptake	1	1.681792831	1.265756594	1.2397077	1.310393404													1.85E+14			
b1340	eg13354	ydal		1	0.586417475	0.876605721	0.876605721	0.692554734	1					1.02456465										
b0243	eg10767	proa	proa gamma-glutamyl phosphate reductase, proline biosynthesis	1	0.870550563	0.901250463	0.840896415	0.888842681	1	1.132854243	0.921430674	0.923443708	0.80170908	0.663416262	6.39E+11	8.47E+11	8.92E+11	1.06E+12	1.72E+12	5.59E+15	4.36E+15	5.32E+15	3.75E+15	4.62E+15
b1410	eg13750	ynbc		1		0.678302164																		
b2510	eg14206	yfgj		1	1.986184991	1.328685814	1.283425898	1.474269217								1.50E+12			1					
b2036	eg11981	glf	glf udp-galactopyranose mutase	1		1.385109468		2.808889751	1	1.120309551	1.423657909	1.381716278	1.293840649	1.492498039			5.63E+11		1.37E+12	6.04E+15	5.44E+15	4.74E+15	4.21E+15	4.70E+15
b4012	eg11207	yjab		1	0.602903914	0.578344092	0.602903914	0.570381858												1.34E+15		2.06E+15	1.86E+15	
b2241	eg10391	glpa	glpa sn-glycerol-3-phosphate dehydrogenase (anaerobic) a subunit																	3.05E+14				
b4119	eg10577	mela	mela alpha-galactosidase	1	0.952637998	0.692554734	0.558643569	0.411795509	1	0.825286358	0	0.604024127								6.18E+14			2.20E+14	
b1541	eg13838	ydfz	ydfz binds selenium, function unknown	1	1.474269217	1.536875181	1.536875181	2.056227653	1	0.70604329	0.602895263	0.552110208	0.427883946	0.76272972						1.06E+16	1.92E+15	1.11E+16	3.23E+15	8.85E+15
b1358	eg13362	ydat																						
b3014	eg13018	yqhh																						
b1693	eg10076	arod	arod 3-dehydroquinate dehydratase	1	0.882702996	1.328685814	1.443929196	1.394743666	1	1.02180402	1.068019788	0.880214248	0.907647902	1.003066113						1.94E+15	3.03E+15	4.74E+15	4.55E+15	3.01E+15
b2576	eg10975	srmb	srmb putative atp-dependent rna helicase	1	0.683020128	1.2397077	1.292352831	1.375541818	1	0.971412505	1.026715155	0.982600543	0.919996059	0.895437877					5.34E+11	9.70E+14	1.14E+15	1.38E+15	2.25E+14	1.41E+15
b4019	eg10587	meth	meth methionine synthase, cobalamin-dependent						1	1.118923831	1.170901419	1.387994546	1.377226868	1.565772415						3.19E+15	4.86E+15	3.75E+15	4.15E+15	3.25E+15
b1393	eg13740	paaf																						
b0659	eg13655	ybey		1	1.248330549	0.979420298	1.01395948	0.979420298							1.32E+12	2.16E+12	2.25E+12	2.97E+12	3.33E+12					
b0191	eg12354	yaej		1	0.920187651	0.864537231	0.876605721	0.840896415																
b2559	eg11372	tada		1	1.205807828	1.414213562	1.602139755														8.82E+14			
b4611	eg31169	sibe		1	0.535886731	0.456915725	0.503477775	0.40332088							1.54E+13	1.25E+13	1.59E+13	1.54E+13	1.57E+13					
b0866	eg13686	ybjq	ybjq function unknown	1	0.965936329	0.882702996	0.835087919	0.742261785	1	0.863965408	0.73251034	0.727861699	0.618892611	0.364951219	1.37E+12	1.82E+12	2.52E+12	2.58E+12	2.84E+12	1.90E+16	9.15E+15	8.65E+15	1.58E+16	1.02E+16
b4676	eg14481	yoak																						
b1707	eg13981	ydiv		1			2.411615655	2.867910496																
b3333	eg12895	gspl																						
b2409	eg14159	yfer		1	0.510506063	0.678302164	0.678302164	0.61985385																
b2505	eg14204	yfgh																						
b1606	eg13189	folm		1	1.064370182	1.214194884	1.140763716	1.057018041																
b3560	eg10409	glyq	glyq glycine--trna ligase, alpha-subunit	1	0.641712949	1.283425898	1.394743666	1.569168196	1	1.022129684	1.076102872	1.054525194	1.278812846	1.37715883	5.11E+11	5.46E+11	1.18E+12	1.78E+12	2.26E+12	3.39E+15	1.82E+15	1.29E+15	2.02E+15	1.83E+15
b1000	eg12193	cbpa	cbpa dnak co-chaperone, binds curved dna	1	1.00695555	1.042465761	1.042465761	0.888842681	1	0.82882706	0.639680299	0.755267422	0.746894234	0.703918631	3.48E+11	7.39E+11	6.25E+11	7.99E+11	8.97E+11	9.18E+14	1.95E+15	1.74E+15	1.65E+15	2.30E+14
b2802	eg10349	fuci		1	0.979420298	0.664342907	0.61985385																	
b3856	eg11828	mobb	mobb molybdenum cofactor biosynthesis adaptor protein	1	0.959264119	1.079228237	1.064370182	1												1.05E+15	5.97E+14		1.14E+15	
b4021	eg11920	pepe	pepe alpha-aspartyl dipeptidase	1	0.993092495				1	1.156002903	1.175417146	0.809040747	1.036957466	0.391596932								1.49E+15		
b2886	eg13069	ygfs		1	0.768437591	0.598739352	0.574349177	0.683020128																
b3677	eg11697	yidi																						
b1214	eg11251	ycha		1	1.071773463	1.035264924	1.035264924	1.094293701							3.74E+11	5.08E+11	7.95E+11	1.02E+12	1.23E+12					
b1009	eg13856	rutd																						
b3831	eg11045	udp	udp uridine phosphorylase	1	0.574349177	0.624165274	0.570381858	0.582366793	1	0.929940376	0.874832613	0.499639995	0.563235892	0.449903687	1.43E+12	1.30E+12	1.79E+12	2.06E+12	2.34E+12	1.50E+16	1.20E+16	1.20E+16	8.85E+15	8.29E+15
b0303	eg14278	ykgi																						
b1063	eg11117	yceb	yceb novel verified lipoprotein, function unknown	1	1.197478705	1.474269217			1	1.223421506	1.384601554	1.458637506	1.439682833	1.304340821						3.82E+15	1.48E+15		8.90E+14	5.82E+15
b3744	eg10091	asna	asna asparagine synthase a	1	0.489710149				1	1.508527235	2.23939379	2.462368827	3.699846918	4.418474281						2.79E+15	2.56E+15	3.83E+15	5.89E+15	3.15E+15
b2747	eg13110	ispd	ispd 2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	1	0.707106781	1.035264924	1.222640278	1.328685814	1	0.998307206	1.055987748	0.8719434	0.899143399	1.159351452						2.54E+15	1.45E+15	3.03E+15	3.47E+15	3.73E+15
b2809	eg13081	ygdi	ygdi novel verified lipoprotein, function unknown	1	0.846745312	0.463294031	0.327598351	0.323088208												1.04E+17	4.93E+16	4.22E+16	4.09E+16	3.64E+16
b2714	eg10087	ascg	ascg repressor of cryptic asc operon	1	0.784584098	0.946057647	0.959264119	0.747424624	1				0.922539019	0.859853609										
b4565	eg14343	sgcb		1	1.892115293	0.246558176	0.041234622	0.035896824							3.39E+12	8.23E+12	1.94E+12				5.75E+15			1.15E+16
b0535	eg11103	fimz																						
b1466	eg10645	narw		1	0.952637998	0.742261785	0.768437591	0.864537231																
b0677	eg10632	naga	naga n-acetylglucosamine-6-phosphate deacetylase	1	1.086734863	0.959264119	0.864537231	0.784584098	1		0.850894886	0.763005974			3.22E+11	4.00E+11	6.33E+11	7.65E+11	9.02E+11	1.98E+15	9.44E+14	1.88E+15	8.74E+14	9.22E+14
b1625	eg14303	cnu		1		2.828427125	2.887858391	2.313376368														3.38E+15		2.54E+15
b3607	eg10187	cyse	cyse cysteine synthase, serine acetyltransferase (sat)	1	0.939522749	0.920187651	0.829319546	0.716977624	1	1.003575136	0.931605841	0.853389186	0.729838344	0.648907274	8.64E+11	1.07E+12	1.57E+12	1.88E+12	1.68E+12	3.69E+15	3.75E+15	2.76E+15	2.02E+15	1.47E+15
b2234	eg10660	nrda	nrda ribonucleoside diphosphate reductase, subunit alpha	1	1	1.729074463	1.765405993	1.853176124	1	1.174325214	1.332206966	1.449447552	1.517899908	1.349482702	1.25E+11	1.83E+11	4.30E+11	5.52E+11	6.92E+11	7.27E+15	6.72E+15	6.06E+15	6.39E+15	4.44E+15
b3614	eg12298	yibq		1		1.536875181	1.765405993	1.986184991																
b3086	eg12728	ygjq																						
b2720	eg10479	hycf																						
b4346	eg10574	mcrb	mcrb mcrbc restriction endonuclease, catalytic subunit	1		2.887858391	3.458148925	3.410539567													4.87E+14	3.80E+14	4.97E+14	
b1197	eg11017	trea	trea trehalase, periplasmic	1	0.650670928	0.406126198	0.346277367	0.283220971	1	0.51046497	0.288428134	0.284656758	0.198803321	0.157948187	2.93E+11	3.48E+11				3.95E+15	2.86E+15	3.42E+15	1.65E+15	1.83E+15
b2142	eg12024	yohk		1	0.835087919																			
b0894	eg10232	dmsa																						
b0670	eg30028	glnu																						
b2170	eg12034	setb																						
b3146	eg12777	yral	yral putative methyltransferase, function unknown	1	0.598739352	0.986232704	0.986232704	0.946057647	1	0.988839386	0.847824415	0.975773131	0.996813367	1.085522151						6.35E+14	1.03E+15	7.49E+14	1.62E+15	1.60E+15
b0400	eg10733	phor		1	0.939522749	0.840896415	0.876605721	0.812252396																
b2357	eg12949	yfdn																						
b2034	eg11983	wbbi	wbbi d-galf:alpha-d-glc beta-1,6-galactofuranosyltransferase						1	1.178541203	1.336139615	1.460488627	1.656052529	1.84174931						6.69E+15	5.88E+15	7.99E+15	6.52E+15	4.54E+15
b2988	eg12882	gsp	gsp glutathionylspermidine synthase/amidase						1	1.022415047	1.03716528	1.228213854	1.532434783	2.622791706						3.23E+15	2.77E+15	3.06E+15	1.98E+15	2.65E+15
b2792	eg13172	yqcc		1	0.450625231	0.888842681	0.895025071	0.979420298																
b2895	eg12697	fldb		1	1.086734863	1.319507911	1.366040257	1.274560627	1					1.767542571										
b3663	eg11690	yicn																		9.36E+14	1.52E+15	7.83E+14	8.94E+14	1.37E+15
b0907	eg10946	serc	serc phosphoserine aminotransferase	1	0.574349177	1.613283518	1.693490625	2.128740365	1	1.263818789	1.387771944	1.578928774	1.646321754	2.280681239	6.73E+11	6.01E+11	2.00E+12	2.57E+12	4.33E+12	1.10E+16	1.94E+16	1.97E+16	1.38E+16	1.20E+16
b3600	eg10616	mtld	mtld mannitol-1-phosphate dehydrogenase	1	0.888842681	0.752623374	0.659753955	0.496546248	1	0.760457007	0.555633919	0.555572428	0.467857138	0.373064135	3.69E+11	5.71E+11	5.51E+11	5.06E+11		4.55E+15	5.21E+15	2.97E+15	2.83E+15	2.15E+15
b4140	eg12382	fxsa		1		0.846745312	0.829319546	0.737134609																
b0583	eg10262	entd		1	1.394743666	1.189207115	1.117287138																	
b0415	eg11322	ribe	ribe lumazine (6,7-dimethyl-8-ribityllumazine) synthase	1	0.979420298	1.569168196	1.602139755	1.569168196	1	1.255835236	1.472551328	1.612637053	1.653160694	1.584227253	8.16E+11	1.54E+12	2.50E+12	3.11E+12	3.78E+12	3.82E+16	3.98E+16	4.09E+16	3.65E+16	3.79E+16
b0409	eg10940	secf	secf secdfyajc inner membrane secretion protein trimeric complex	1	1.602139755	1.094293701	1.042465761	1.117287138	1	0.961506314	1.103302606	0.999612182	0.94256987	0.775345773		4.09E+11			7.02E+11	3.15E+15	6.61E+15	2.16E+15	2.79E+15	1.81E+15
b2250	eg14088	yfaz		1	0.895025071	0.747424624	0.77916458	0.835087919																
b2097	eg14062	fbab	fbab fructose 1,6-bisphosphate aldolase, class i	1	0.678302164	0.673616788	0.578344092	0.489710149	1	1.70525937	2.623417722	1.112805447	0.854563291	0.757524237	1.59E+12	1.65E+12	2.09E+12	2.21E+12	2.33E+12	1.07E+16	1.17E+16	7.47E+15	4.88E+15	5.41E+15
b4121	eg12463	yjdf		1	0.535886731	0.752623374	0.712025098	0.624165274																
b4442	eg31156	mica																						
b3138	eg12769	agab																						
b0666	eg30059	metu																						
b4003	eg10008	zras		1	0.895025071	0.664342907	0.668963777																	
b2282	eg12088	nuoh	nuoh nadh:ubiquinone oxidoreductase subunit h, complex i	1	1.765405993	1.404444876	1.414213562	1.248330549	1	1.259215468	1.607861516	1.185238602		0.832434174	5.16E+11	1.37E+12	1.52E+12	1.66E+12	1.84E+12	1.05E+16	9.60E+15	8.29E+15	5.63E+15	6.40E+15
b0254	eg13340	perr																						
b1297	eg13908	puua	puua gamma-glutamylputrescine synthase, atp-dependent	1	2.234574276	1.693490625	1.647182035	1.347233577	1					1.390524986		3.52E+11	4.96E+11	5.92E+11	5.96E+11	4.40E+14		4.01E+14		7.42E+14
b0005	eg14384	yaax																						
b3494	eg12231	uspb		1	1.214194884	0.598739352	0.582366793	0.420448208							1.62E+12	2.29E+12	2.09E+12	2.24E+12						
